Time Period,Therapy Area,Geography Location,Hospital Type,Hospital Name,Manufacturer,Product Name,Patient Age,Patient Gender,Claims volume,Patient Count,HCP Count
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Biosense,Thermocool,0 - 18 years,Male,1138,808,431
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Biosense,Thermocool,0 - 18 years,Male,1060,879,516
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Biosense,Thermocool,0 - 18 years,Male,1230,878,467
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Biosense,Thermocool,0 - 18 years,Male,1085,862,417
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Biosense,Thermocool,0 - 18 years,Male,1032,894,464
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Biosense,Thermocool,0 - 18 years,Male,1345,805,496
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Biosense,Thermocool,0 - 18 years,Male,1187,803,437
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Biosense,Thermocool,0 - 18 years,Male,1358,896,409
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Biosense,Thermocool,0 - 18 years,Male,1314,896,509
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Biosense,Thermocool,0 - 18 years,Male,1216,882,488
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Biosense,Thermocool,0 - 18 years,Male,1173,860,490
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Biosense,Thermocool,0 - 18 years,Male,1158,806,504
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Biosense,Thermocool,0 - 18 years,Male,1373,892,418
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Biosense,Navistar,0 - 18 years,Male,196,101,113
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Biosense,Navistar,0 - 18 years,Male,181,107,103
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Biosense,Navistar,0 - 18 years,Male,186,111,108
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Biosense,Navistar,0 - 18 years,Male,191,100,113
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Biosense,Navistar,0 - 18 years,Male,202,110,102
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Biosense,Navistar,0 - 18 years,Male,218,103,117
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Biosense,Navistar,0 - 18 years,Male,203,103,117
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Biosense,Navistar,0 - 18 years,Male,188,107,108
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Biosense,Navistar,0 - 18 years,Male,199,114,118
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Biosense,Navistar,0 - 18 years,Male,198,100,113
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Biosense,Navistar,0 - 18 years,Male,181,120,104
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Biosense,Navistar,0 - 18 years,Male,218,107,102
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Biosense,Navistar,0 - 18 years,Male,211,102,117
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Biosense,Navistar,0 - 18 years,Male,191,112,106
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Biosense,Navistar,0 - 18 years,Male,204,118,116
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Biosense,Navistar,0 - 18 years,Male,188,116,110
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,BSC,Blazer Prime,0 - 18 years,Male,107,88,20
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,BSC,Blazer Prime,0 - 18 years,Male,112,89,12
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,BSC,Blazer Prime,0 - 18 years,Male,111,84,15
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,BSC,Blazer Prime,0 - 18 years,Male,110,83,13
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,BSC,Blazer Prime,0 - 18 years,Male,112,82,17
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,BSC,Blazer Prime,0 - 18 years,Male,104,88,20
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,BSC,Blazer Prime,0 - 18 years,Male,110,83,19
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,BSC,Blazer Prime,0 - 18 years,Male,111,85,11
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,BSC,Blazer Prime,0 - 18 years,Male,112,82,13
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,BSC,Blazer Prime,0 - 18 years,Male,105,85,17
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,BSC,Blazer Prime,0 - 18 years,Male,100,84,14
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,BSC,Blazer Prime,0 - 18 years,Male,107,82,17
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,BSC,Blazer Prime,0 - 18 years,Male,113,87,18
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,BSC,Blazer Prime,0 - 18 years,Male,103,80,12
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,BSC,Blazer Prime,0 - 18 years,Male,111,83,10
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,BSC,Blazer Prime,0 - 18 years,Male,107,89,17
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,BSC,Intellanav,0 - 18 years,Male,420,184,103
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,BSC,Intellanav,0 - 18 years,Male,370,154,108
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,BSC,Intellanav,0 - 18 years,Male,389,168,117
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,BSC,Intellanav,0 - 18 years,Male,334,143,137
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,BSC,Intellanav,0 - 18 years,Male,300,120,100
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,BSC,Intellanav,0 - 18 years,Male,395,186,124
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,BSC,Intellanav,0 - 18 years,Male,349,168,100
Jan-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,BSC,Intellanav,0 - 18 years,Male,418,145,123
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,BSC,Intellanav,0 - 18 years,Male,353,171,104
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,BSC,Intellanav,0 - 18 years,Male,351,129,140
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,BSC,Intellanav,0 - 18 years,Male,376,176,118
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,BSC,Intellanav,0 - 18 years,Male,410,178,106
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,BSC,Intellanav,0 - 18 years,Male,402,137,102
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,BSC,Intellanav,0 - 18 years,Male,403,157,123
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,BSC,Intellanav,0 - 18 years,Male,320,121,120
Jan-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,BSC,Intellanav,0 - 18 years,Male,419,174,101
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiCath,0 - 18 years,Male,522,555,211
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiCath,0 - 18 years,Male,563,454,196
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiCath,0 - 18 years,Male,552,476,175
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiCath,0 - 18 years,Male,548,471,185
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiCath,0 - 18 years,Male,556,479,154
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiCath,0 - 18 years,Male,614,519,232
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiCath,0 - 18 years,Male,515,557,184
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiCath,0 - 18 years,Male,598,488,208
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiCath,0 - 18 years,Male,619,444,207
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiCath,0 - 18 years,Male,689,461,187
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiCath,0 - 18 years,Male,517,548,225
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiCath,0 - 18 years,Male,592,466,187
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiCath,0 - 18 years,Male,554,536,251
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiCath,0 - 18 years,Male,550,528,213
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Abbott,TactiCath,0 - 18 years,Male,585,516,242
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Abbott,TactiCath,0 - 18 years,Male,571,516,184
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiFlex,0 - 18 years,Male,105,87,11
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiFlex,0 - 18 years,Male,110,87,13
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiFlex,0 - 18 years,Male,109,85,12
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiFlex,0 - 18 years,Male,114,89,16
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiFlex,0 - 18 years,Male,114,82,12
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiFlex,0 - 18 years,Male,111,84,18
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiFlex,0 - 18 years,Male,110,83,17
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiFlex,0 - 18 years,Male,120,85,19
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiFlex,0 - 18 years,Male,105,84,17
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiFlex,0 - 18 years,Male,122,82,19
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiFlex,0 - 18 years,Male,114,89,10
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiFlex,0 - 18 years,Male,107,89,10
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiFlex,0 - 18 years,Male,118,87,18
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiFlex,0 - 18 years,Male,120,92,10
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Abbott,TactiFlex,0 - 18 years,Male,112,82,14
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Abbott,TactiFlex,0 - 18 years,Male,107,86,12
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Biosense,Thermocool,0 - 18 years,Male,1354,883,480
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Biosense,Thermocool,0 - 18 years,Male,1381,890,427
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Biosense,Thermocool,0 - 18 years,Male,1029,875,468
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Biosense,Thermocool,0 - 18 years,Male,1161,824,440
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Biosense,Thermocool,0 - 18 years,Male,1081,897,526
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Biosense,Thermocool,0 - 18 years,Male,1255,896,476
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Biosense,Thermocool,0 - 18 years,Male,1107,879,425
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Biosense,Thermocool,0 - 18 years,Male,1053,912,473
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Biosense,Thermocool,0 - 18 years,Male,1372,821,506
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Biosense,Thermocool,0 - 18 years,Male,1211,819,446
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Biosense,Thermocool,0 - 18 years,Male,1385,914,417
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Biosense,Thermocool,0 - 18 years,Male,1340,914,519
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Biosense,Thermocool,0 - 18 years,Male,1240,900,498
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Biosense,Thermocool,0 - 18 years,Male,1196,877,500
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Biosense,Thermocool,0 - 18 years,Male,1181,822,514
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Biosense,Thermocool,0 - 18 years,Male,1400,910,426
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Biosense,Navistar,0 - 18 years,Male,200,103,115
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Biosense,Navistar,0 - 18 years,Male,185,109,105
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Biosense,Navistar,0 - 18 years,Male,190,113,110
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Biosense,Navistar,0 - 18 years,Male,195,102,115
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Biosense,Navistar,0 - 18 years,Male,206,112,104
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Biosense,Navistar,0 - 18 years,Male,222,105,119
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Biosense,Navistar,0 - 18 years,Male,207,105,119
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Biosense,Navistar,0 - 18 years,Male,192,109,110
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Biosense,Navistar,0 - 18 years,Male,203,116,120
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Biosense,Navistar,0 - 18 years,Male,202,102,115
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Biosense,Navistar,0 - 18 years,Male,185,122,106
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Biosense,Navistar,0 - 18 years,Male,222,109,104
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Biosense,Navistar,0 - 18 years,Male,215,104,119
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Biosense,Navistar,0 - 18 years,Male,195,114,108
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Biosense,Navistar,0 - 18 years,Male,208,120,118
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Biosense,Navistar,0 - 18 years,Male,192,118,112
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,BSC,Blazer Prime,0 - 18 years,Male,109,90,20
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,BSC,Blazer Prime,0 - 18 years,Male,114,91,12
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,BSC,Blazer Prime,0 - 18 years,Male,113,86,15
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,BSC,Blazer Prime,0 - 18 years,Male,112,85,13
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,BSC,Blazer Prime,0 - 18 years,Male,114,84,17
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,BSC,Blazer Prime,0 - 18 years,Male,106,90,20
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,BSC,Blazer Prime,0 - 18 years,Male,112,85,19
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,BSC,Blazer Prime,0 - 18 years,Male,113,87,11
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,BSC,Blazer Prime,0 - 18 years,Male,114,84,13
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,BSC,Blazer Prime,0 - 18 years,Male,107,87,17
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,BSC,Blazer Prime,0 - 18 years,Male,102,86,14
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,BSC,Blazer Prime,0 - 18 years,Male,109,84,17
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,BSC,Blazer Prime,0 - 18 years,Male,115,89,18
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,BSC,Blazer Prime,0 - 18 years,Male,105,82,12
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,BSC,Blazer Prime,0 - 18 years,Male,113,85,10
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,BSC,Blazer Prime,0 - 18 years,Male,109,91,17
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,BSC,Intellanav,0 - 18 years,Male,428,188,105
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,BSC,Intellanav,0 - 18 years,Male,377,157,110
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,BSC,Intellanav,0 - 18 years,Male,397,171,119
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,BSC,Intellanav,0 - 18 years,Male,341,146,140
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,BSC,Intellanav,0 - 18 years,Male,306,122,102
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,BSC,Intellanav,0 - 18 years,Male,403,190,126
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,BSC,Intellanav,0 - 18 years,Male,356,171,102
Feb-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,BSC,Intellanav,0 - 18 years,Male,426,148,125
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,BSC,Intellanav,0 - 18 years,Male,360,174,106
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,BSC,Intellanav,0 - 18 years,Male,358,132,143
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,BSC,Intellanav,0 - 18 years,Male,384,180,120
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,BSC,Intellanav,0 - 18 years,Male,418,182,108
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,BSC,Intellanav,0 - 18 years,Male,410,140,104
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,BSC,Intellanav,0 - 18 years,Male,411,160,125
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,BSC,Intellanav,0 - 18 years,Male,326,123,122
Feb-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,BSC,Intellanav,0 - 18 years,Male,427,177,103
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiCath,0 - 18 years,Male,502,533,203
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiCath,0 - 18 years,Male,541,436,188
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiCath,0 - 18 years,Male,530,458,169
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiCath,0 - 18 years,Male,526,453,177
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiCath,0 - 18 years,Male,534,461,148
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiCath,0 - 18 years,Male,590,499,222
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiCath,0 - 18 years,Male,495,535,176
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiCath,0 - 18 years,Male,574,468,200
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiCath,0 - 18 years,Male,595,426,199
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiCath,0 - 18 years,Male,662,443,179
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiCath,0 - 18 years,Male,497,526,217
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiCath,0 - 18 years,Male,568,448,179
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiCath,0 - 18 years,Male,532,515,241
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiCath,0 - 18 years,Male,528,508,205
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 15,Abbott,TactiCath,0 - 18 years,Male,563,496,232
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 16,Abbott,TactiCath,0 - 18 years,Male,549,496,176
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 1,Abbott,TactiFlex,0 - 18 years,Male,101,83,11
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 2,Abbott,TactiFlex,0 - 18 years,Male,106,83,13
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 3,Abbott,TactiFlex,0 - 18 years,Male,105,81,12
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 4,Abbott,TactiFlex,0 - 18 years,Male,110,85,16
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 5,Abbott,TactiFlex,0 - 18 years,Male,110,78,12
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 6,Abbott,TactiFlex,0 - 18 years,Male,107,80,18
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 7,Abbott,TactiFlex,0 - 18 years,Male,106,79,17
Mar-23,Cardiac Ablation,North,Hospital Category 1,Hospital 8,Abbott,TactiFlex,0 - 18 years,Male,116,81,19
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 9,Abbott,TactiFlex,0 - 18 years,Male,101,80,17
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 10,Abbott,TactiFlex,0 - 18 years,Male,118,78,19
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 11,Abbott,TactiFlex,0 - 18 years,Male,110,85,10
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 12,Abbott,TactiFlex,0 - 18 years,Male,103,85,10
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 13,Abbott,TactiFlex,0 - 18 years,Male,114,83,18
Mar-23,Cardiac Ablation,North,Hospital Category 2,Hospital 14,Abbott,TactiFlex,0 - 18 years,Male,116,88,10
